RU;85;1608;TransparentCalls;0.83;780;61;36
US;28;1663;E-Voice;0.88;789;38;25
GB;73;1885;TransparentCalls;0.89;562;37;32
FR;79;460;TransparentCalls;0.75;239;85;38
BL;89;1657;E-Voice;0.75;153;89;41
AT;16;1543;TransparentCalls;0.95;164;52;20
BG;75;1030;E-Voice;0.81;240;29;26
DK;10;686;JustPhone;0.94;622;5;12
CA;16;1255;JustPhone;0.66;237;56;25
ES;92;1110;E-Voice;1.00;387;83;10
CH;96;109;JustPhone;0.69;357;50;31
TR;28;1740;TransparentCalls;0.72;673;63;12
PE;94;649;JustPhone;0.79;468;50;8
NZ;75;701;JustPhone;0.66;664;24;38
MC;38;1991;E-Voice;0.86;479;38;34
