RU;86;641;TransparentCalls;0.75;637;58;35
US;42;127;E-Voice;0.65;71;58;56
GB;27;886;TransparentCalls;0.90;531;90;22
FR;58;679;TransparentCalls;0.64;249;30;41
BL;0;1352;E-Voice;0.79;677;35;43
AT;12;724;TransparentCalls;0.86;415;45;46
BG;42;440;E-Voice;0.84;770;57;57
DK;29;1368;JustPhone;0.87;708;91;57
CA;14;663;JustPhone;0.72;458;2;6
ES;53;1282;E-Voice;0.79;708;61;19
CH;90;388;JustPhone;0.71;152;31;6
TR;1;1454;TransparentCalls;0.88;20;10;58
PE;9;1973;JustPhone;0.75;602;74;40
NZ;5;40;JustPhone;0.96;929;53;49
MC;2;1972;E-Voice;0.98;301;53;26
